⺀⺀	丶 丶
㘕㘕	口 艹 臣 {临右上} 皿
㘖㘖	口 {立无横} 厂 彡 頁
㘗㘗	口 目 目 隹
㘘㘘	言 糹 糹 口
㘙㘙	口 {双口：吕吅} 厂 ヿ 耳 攵
㘚㘚	口 門 ヿ 耳 攵
㘛㘛	口 亼 口 立 ⺝ {龍右}
㘜㘜	隹 言 隹 口
㘝㘝	囗 又
㘞㘞	囗 力
㘟㘟	囗 廾
㘠㘠	囗 心 丿
㘡㘡	囗 甲
㘢㘢	囗 光
㘣㘣	囗 口 ⺝
㘤㘤	囗 氵 片 爿 一
㘥㘥	囗 爫 缶 丿 糸
㘦㘦	土 力
㘧㘧	土 予
㘨㘨	土 冂 人
㘩㘩	土 {比左} 匕
㘪㘪	土 毛
㘫㘫	土 井
㘬㘬	土 勹 厶
㘭㘭	土 幺 𠃌
㘮㘮	土 尸 丶
㘯㘯	土 𠂉 力
㘰㘰	土 斗
㘱㘱	土 冂 土
㘲㘲	土 尸 九
㘳㘳	{北左} 匕 土
㘴㘴	口 人 土
㘵㘵	土 𠂇 巾
㘶㘶	夕 㐄 土
㘷㘷	土 艹 乂
㘸㘸	歹 匕 土
㘹㘹	止 匕 土
㘺㘺	土 亻 戈
㘻㘻	土 囗 大
㘼㘼	土 耂 一 ㄅ
㘽㘽	十 戈 土
㘾㘾	土 宀 一 𬺰
㘿㘿	土 日 土
㙀㙀	土 穴 九
㙁㙁	土 𠂉 母
㙂㙂	土 丷 口 儿
㙃㙃	土 {丘无横} {其字底}
㙄㙄	土 {比左} 匕 土
㙅㙅	土 口 木
㙆㙆	土 宀 𠂇 厶
㙇㙇	土 豕 丶
㙈㙈	土 虎
㙉㙉	土 𠕁 {其字底}
㙊㙊	土 長
㙋㙋	土 {其字头} {其字底}
㙌㙌	土 肀 {乔字底} 八
㙍㙍	土 又 又 又 又
㙎㙎	土 戊 一 女
㙏㙏	土 𠂉 日 夂
㙐㙐	土 山 而
㙑㙑	丿 口 ⽱ 土
㙒㙒	田 予 土
㙓㙓	土 土 土 土
